x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15
1.4139848993983506e31,9.913591335932531e30,-3.264595926222074e31,-1.1285570003806422e31,-5.37658108456701e31,5.742181067451253e31,3.0089111029654217e30,8.419018131099246e31,7.0919349353838725e31,5.124229151013174e31,-2.9875237472714933e31,8.868376318518012e30,2.3020353028885155e31,4.2353592841018675e31,-6.878740666114443e22
8.999738834934994e30,6.309808045165843e30,-2.0778518037988107e31,-7.183045779403374e30,-3.4220892745420185e31,3.65478655196096e31,1.9151133874023228e30,5.358541272874661e31,4.513878633354875e31,3.261472177609673e31,-1.901500751532086e31,5.64454901820697e30,1.4652006908710654e31,2.6957237977048395e31,-4.378183849416948e22
2.434296361192573e31,1.7067098330172557e31,-5.620282074686892e31,-1.9429077358562695e31,-9.256245788330067e31,9.885657536903813e31,5.180098707006894e30,1.4494062284589852e32,1.220937466472607e32,8.821800276322553e31,-5.143278538585423e31,1.5267670970913875e31,3.963151348746928e31,7.291534512157322e31,-1.1842341494997753e23
2.095225413731141e30,1.468983757692802e30,-4.837438046965057e30,-1.672281867400304e30,-7.966951650024162e30,8.508693203080824e30,4.4585674240746386e29,1.2475197404475874e31,1.0508741865253707e31,7.593019662057976e30,-4.4268759037468833e30,1.3141050833708822e30,3.4111275671830606e30,6.275903237798544e30,-1.0192833538385984e22
-7.05364213532228e30,-4.945379939294505e30,1.628538705738625e31,5.629789408207245e30,2.682099285375358e31,-2.8644782800196915e31,-1.5009907210711118e30,-4.199814372333966e31,-3.537800941330629e31,-2.556213907660025e31,1.4903216712566476e31,-4.4239760197446114e30,-1.1483668047914071e31,-2.112802528321273e31,3.4314491926655135e22
-1.0391881360985034e31,-7.285853269588346e30,2.399268448431809e31,8.294169521934059e30,3.951441969593205e31,-4.220134488822216e31,-2.211356515976371e30,-6.1874379020307885e31,-5.212116939840946e31,-3.7659794971281548e31,2.1956381824148834e31,-6.51768732507837e30,-1.691848177911642e31,-3.112717202302574e31,5.055432329285375e22
-3.2132253358268056e31,-2.2528248260080885e31,7.418666455233849e31,2.564601607903149e31,1.2218070057472948e32,-1.30488817077822e32,-6.83763270273462e30,-1.9131889154646595e32,-1.6116144538818614e32,-1.1644610166363019e32,6.78903077409216e31,-2.0153038046186758e31,-5.231285116521766e31,-9.624688187120037e31,1.5631667842416854e23
